nom_fr,date,NDVI,NDWI,NDDI_corrige
Marrakech-Safi,2025-06-10,0.2100317833880033,-0.07736449193278148,2.6329574016131065
l'Oriental,2025-06-10,0.1699204215311386,-0.07862193534747451,2.0608569568176276
Béni Mellal-Khénifra,2025-06-10,0.24401726729639378,-0.025551483186602587,1.6218790871153905
Casablanca-Settat,2025-06-10,0.22811293466177113,-0.06089389879457281,1.958718279809249
Rabat-Salé-Kénitra,2025-06-10,0.295011675522691,-0.040135414141020044,1.8738686673529459
Fès-Meknès,2025-06-18,0.24550713571076438,-0.03682762826987567,2.5377374272799953
Guelmim-Oued Noun,2025-06-18,0.047189326716447925,-0.025623216729259397,0.9340816787765179
Laâyoune-Sakia El Hamra,2025-06-18,0.06551590261276696,-0.0812491105933603,-7.406593160679026
Souss-Massa,2025-06-18,0.13792511425980244,-0.07753355135980773,3.57836278561832
Dakhla-Oued Ed-Dahab,2025-06-18,0.07147360120674058,-0.07464997762588613,2.603553120973762
Tanger-Tétouan-Al Hoceima,2025-06-18,0.3207597707423265,-0.02372598802778831,1.6622384611387688
Drâa-Tafilalet,2025-06-18,0.13403985142898664,-0.05781294994756633,3.3413586352577256
Marrakech-Safi,2025-06-18,0.20216661096280023,-0.07720735024356823,2.9100380276835205
l'Oriental,2025-06-18,0.17123312551070724,-0.09612387343431174,3.1398209767207677
Béni Mellal-Khénifra,2025-06-18,0.23672648207942965,-0.02160723147285875,1.5599880658916392
Casablanca-Settat,2025-06-18,0.2101237024251695,-0.055728156448877554,2.1134918028473058
Rabat-Salé-Kénitra,2025-06-18,0.28424075601038606,-0.0373061020612781,1.7425218121125783
Fès-Meknès,2025-06-26,0.2416851690861333,-0.05046725667958229,2.763059182667726
Guelmim-Oued Noun,2025-06-26,0.05639623217545292,-0.04393983392372957,-0.5413842314810584
Laâyoune-Sakia El Hamra,2025-06-26,0.05958277430664298,-0.05344560959719474,2.701831130707357
Souss-Massa,2025-06-26,0.13409559677435068,-0.08207422728499708,6.064641791037426
Dakhla-Oued Ed-Dahab,2025-06-26,0.07009327548715803,-0.06989849671356284,2.6449266698627385
Tanger-Tétouan-Al Hoceima,2025-06-26,0.3124592975640354,-0.036613057543119915,1.7947351583709925
Drâa-Tafilalet,2025-06-26,0.12618828602348453,-0.06731701036457705,0.5416908470045021
Marrakech-Safi,2025-06-26,0.19733435052767295,-0.08742276720607046,3.730618463231183
l'Oriental,2025-06-26,0.17973956138655267,-0.11175134733733579,0.07517408283607792
Béni Mellal-Khénifra,2025-06-26,0.2319085664544767,-0.035874398557553415,1.7456960218662956
Casablanca-Settat,2025-06-26,0.21081685353137408,-0.05905082500255376,2.9512741320425846
Rabat-Salé-Kénitra,2025-06-26,0.2782373979403971,-0.05469071980391709,1.8092972250795785
Fès-Meknès,2025-07-04,0.23454691719864837,-0.04434821024285925,1.172646025754218
Guelmim-Oued Noun,2025-07-04,0.040675179449251975,-0.008511542935504525,0.9397987484373128
Laâyoune-Sakia El Hamra,2025-07-04,0.057712652194143135,-0.046215343018587644,-3.048950764304386
Souss-Massa,2025-07-04,0.13963873356882395,-0.09601683417178736,5.173168208646813
Dakhla-Oued Ed-Dahab,2025-07-04,0.06717518942218154,-0.07418089652550362,1.6838575967035867
Tanger-Tétouan-Al Hoceima,2025-07-04,0.31075448186951643,-0.04952764073553013,1.791175222148768
Drâa-Tafilalet,2025-07-04,0.12874102288405925,-0.06424374153295478,3.4487583681436567
Marrakech-Safi,2025-07-04,0.19815010860641788,-0.08964704682574254,3.6492811944363686
l'Oriental,2025-07-04,0.17329775815399232,-0.10393727230400997,3.964357583941746
Béni Mellal-Khénifra,2025-07-04,0.2238721756177823,-0.03490780913092986,1.8816912369400225
Casablanca-Settat,2025-07-04,0.22662639291350087,-0.08000189505772823,3.1268822480519765
Rabat-Salé-Kénitra,2025-07-04,0.2813543893910718,-0.0512833401459907,1.3806017077103776
Fès-Meknès,2025-07-12,0.23555457190700926,-0.05394873856772373,2.081660091497545
