nom_fr,year,month,date,P,NDVI,LST,ET_PET
l'Oriental,2000.0,3.0,2000-03,11.756079956128968,0.15813438090655096,29.089724649902465,0.0
Béni Mellal-Khénifra,2000.0,3.0,2000-03,32.39721640369175,0.30799029702091735,28.97672845861277,0.0
Casablanca-Settat,2000.0,3.0,2000-03,17.19314148944018,0.30826135959474066,32.35467338420937,0.0
Rabat-Salé-Kénitra,2000.0,3.0,2000-03,23.122124550988016,0.3846748157382053,29.81516663781168,0.0
Fès-Meknès,2000.0,4.0,2000-04,44.43480924587047,0.26760622542859785,30.508651614109525,0.0
Guelmim-Oued Noun,2000.0,4.0,2000-04,1.4119687618732455,0.12841219182324068,37.87997036692686,0.0
Laâyoune-Sakia El Hamra,2000.0,4.0,2000-04,1.9813817541747512,0.11170355687291592,38.33973018037949,0.0
Souss-Massa,2000.0,4.0,2000-04,13.13539508170066,0.19189462845512786,37.16794338733924,0.0
Dakhla-Oued Ed-Dahab,2000.0,4.0,2000-04,0.07498857008041046,0.105,40.95994361252852,0.0
Tanger-Tétouan-Al Hoceima,2000.0,4.0,2000-04,119.97577209788616,0.45258109534692714,24.29511461272738,0.0
Drâa-Tafilalet,2000.0,4.0,2000-04,17.887471447266037,0.15001191863915073,37.01031429803123,0.0
Marrakech-Safi,2000.0,4.0,2000-04,35.18966169518877,0.21619908842336066,32.91972780370095,0.0
l'Oriental,2000.0,4.0,2000-04,18.146655992986318,0.14846163442666915,34.29220977957071,0.0
Béni Mellal-Khénifra,2000.0,4.0,2000-04,50.099212752931294,0.2982842065162847,30.24699827393958,0.0
Casablanca-Settat,2000.0,4.0,2000-04,42.7685577925466,0.26345462827378907,34.48872518771611,0.0
Rabat-Salé-Kénitra,2000.0,4.0,2000-04,69.00469771789075,0.3410991442609406,30.648833186020866,0.0
Fès-Meknès,2000.0,5.0,2000-05,41.507175138140944,0.265063391975586,34.90659355364568,0.0
Guelmim-Oued Noun,2000.0,5.0,2000-05,3.4779857917072343,0.12392805717720563,42.144579483061094,0.0
Laâyoune-Sakia El Hamra,2000.0,5.0,2000-05,0.9953079488942808,0.10976819192293444,42.06286946347286,0.0
Souss-Massa,2000.0,5.0,2000-05,8.879328331657343,0.181490759720616,41.92919222323317,0.0
Dakhla-Oued Ed-Dahab,2000.0,5.0,2000-05,6.481295276810612E-4,0.025439130434782613,44.12907114249603,0.0
Tanger-Tétouan-Al Hoceima,2000.0,5.0,2000-05,56.05305315649694,0.4802255959269263,28.735188013484834,0.0
Drâa-Tafilalet,2000.0,5.0,2000-05,28.44228321907691,0.14521303355970197,40.800005844354985,0.0
Marrakech-Safi,2000.0,5.0,2000-05,11.718770745653707,0.19814746178765724,38.114050526945256,0.0
l'Oriental,2000.0,5.0,2000-05,31.0126664990788,0.14147035975865885,38.89684916904089,0.0
Béni Mellal-Khénifra,2000.0,5.0,2000-05,40.139442339184875,0.2756037796959719,35.967400278002685,0.0
