Annee,Mois,nom_fr,mean
2021.0,1.0,Laâyoune-Sakia El Hamra,2.893049343566173
2021.0,1.0,Souss-Massa,1.1612250889395814
2021.0,1.0,Dakhla-Oued Ed-Dahab,17.21900934267327
2021.0,1.0,Tanger-Tétouan-Al Hoceima,1.282308135259394
2021.0,1.0,Drâa-Tafilalet,6.198184225044815
2021.0,1.0,Marrakech-Safi,6.8552470629523645
2021.0,1.0,l'Oriental,12.793071597926389
2021.0,1.0,Béni Mellal-Khénifra,3.192810187698736
2021.0,1.0,Casablanca-Settat,1.309969436128717
2021.0,1.0,Rabat-Salé-Kénitra,1.030267501662566
2021.0,2.0,Fès-Meknès,11.088945943943509
2021.0,2.0,Guelmim-Oued Noun,9.416997471708711
2021.0,2.0,Laâyoune-Sakia El Hamra,-6.4779787571648635
2021.0,2.0,Souss-Massa,0.8185577771254715
2021.0,2.0,Dakhla-Oued Ed-Dahab,5.226594033754703
2021.0,2.0,Tanger-Tétouan-Al Hoceima,2.5259202722507976
2021.0,2.0,Drâa-Tafilalet,8.182007672287456
2021.0,2.0,Marrakech-Safi,2.079240370460662
2021.0,2.0,l'Oriental,36.08500102724858
2021.0,2.0,Béni Mellal-Khénifra,1.473167776047312
2021.0,2.0,Casablanca-Settat,0.6862931222866563
2021.0,2.0,Rabat-Salé-Kénitra,0.6598340341685953
2021.0,3.0,Fès-Meknès,2.095775665840858
2021.0,3.0,Guelmim-Oued Noun,24.363518851101592
2021.0,3.0,Laâyoune-Sakia El Hamra,19.14208868848049
2021.0,3.0,Souss-Massa,-0.623233743565067
2021.0,3.0,Dakhla-Oued Ed-Dahab,-4.396846671677054
2021.0,3.0,Tanger-Tétouan-Al Hoceima,0.8169654540563143
2021.0,3.0,Drâa-Tafilalet,27.384046519345908
2021.0,3.0,Marrakech-Safi,1.3915745347160648
2021.0,3.0,l'Oriental,30.07869331538768
2021.0,3.0,Béni Mellal-Khénifra,1.5170394579384134
2021.0,3.0,Casablanca-Settat,0.6513133570856064
2021.0,3.0,Rabat-Salé-Kénitra,0.6616455282208016
2021.0,4.0,Fès-Meknès,17.323709760155335
2021.0,4.0,Guelmim-Oued Noun,4.789846468108068
2021.0,4.0,Laâyoune-Sakia El Hamra,-1.500408892490528
2021.0,4.0,Souss-Massa,3.3269433245070967
2021.0,4.0,Dakhla-Oued Ed-Dahab,8.299916248213353
2021.0,4.0,Tanger-Tétouan-Al Hoceima,0.7560875168455073
2021.0,4.0,Drâa-Tafilalet,16.151905859383962
2021.0,4.0,Marrakech-Safi,2.6608849560120693
2021.0,4.0,l'Oriental,43.63429894200535
2021.0,4.0,Béni Mellal-Khénifra,3.2863916395858386
2021.0,4.0,Casablanca-Settat,1.4794917744894445
2021.0,4.0,Rabat-Salé-Kénitra,0.7631228118315847
2021.0,5.0,Fès-Meknès,6.223573269670523
2021.0,5.0,Guelmim-Oued Noun,28.86747894745793
2021.0,5.0,Laâyoune-Sakia El Hamra,4.000912783480665
2021.0,5.0,Souss-Massa,9.254416317610785
2021.0,5.0,Dakhla-Oued Ed-Dahab,-2.911048219215086
2021.0,5.0,Tanger-Tétouan-Al Hoceima,0.8891999307117756
2021.0,5.0,Drâa-Tafilalet,18.671144774035838
2021.0,5.0,Marrakech-Safi,-5.02845779305907
2021.0,5.0,l'Oriental,29.856834782048665
2021.0,5.0,Béni Mellal-Khénifra,2.550399517603531
2021.0,5.0,Casablanca-Settat,59.4619222038101
2021.0,5.0,Rabat-Salé-Kénitra,1.7324493436383646
2021.0,6.0,Fès-Meknès,41.771520720856714
2021.0,6.0,Guelmim-Oued Noun,2.7408291790571675
2021.0,6.0,Laâyoune-Sakia El Hamra,4.192252617638148
2021.0,6.0,Souss-Massa,6.956248409276319
2021.0,6.0,Dakhla-Oued Ed-Dahab,-3.9870429352704835
2021.0,6.0,Tanger-Tétouan-Al Hoceima,2.3148567796777257
2021.0,6.0,Drâa-Tafilalet,-6.331431831529912
2021.0,6.0,Marrakech-Safi,4.132968049085183
2021.0,6.0,l'Oriental,41.33956316077192
2021.0,6.0,Béni Mellal-Khénifra,8.378119091552632
2021.0,6.0,Casablanca-Settat,9.678265118088184
2021.0,6.0,Rabat-Salé-Kénitra,3.740705475442981
2021.0,7.0,Fès-Meknès,2.3152711054027404
2021.0,7.0,Guelmim-Oued Noun,0.9808374785221332
2021.0,7.0,Laâyoune-Sakia El Hamra,-3.338597524372752
2021.0,7.0,Souss-Massa,0.6503061091521815
2021.0,7.0,Dakhla-Oued Ed-Dahab,-4.157281066546154
2021.0,7.0,Tanger-Tétouan-Al Hoceima,1.822825880280446
2021.0,7.0,Drâa-Tafilalet,-2.2647188882568265
2021.0,7.0,Marrakech-Safi,7.777258468122978
2021.0,7.0,l'Oriental,5.319155096784601
2021.0,7.0,Béni Mellal-Khénifra,8.83814955045938
2021.0,7.0,Casablanca-Settat,15.823129791624321
2021.0,7.0,Rabat-Salé-Kénitra,4.027257179342872
2021.0,8.0,Fès-Meknès,5.538142882828741
