Annee,nom_fr,mean
2018.0,Laâyoune-Sakia El Hamra,4.790816212779168
2018.0,Souss-Massa,5.469350149567277
2018.0,Dakhla-Oued Ed-Dahab,1.107692289766642
2018.0,Tanger-Tétouan-Al Hoceima,1.9150398371688497
2018.0,Drâa-Tafilalet,6.971412919253135
2018.0,Marrakech-Safi,10.141452288166416
2018.0,l'Oriental,14.175955436095876
2018.0,Béni Mellal-Khénifra,3.0640115838978033
2018.0,Casablanca-Settat,8.477553121988358
2018.0,Rabat-Salé-Kénitra,4.5640164578317375
2019.0,Fès-Meknès,14.880133622451394
2019.0,Guelmim-Oued Noun,1.4922304243741678
2019.0,Laâyoune-Sakia El Hamra,2.843883650304413
2019.0,Souss-Massa,5.235986913010453
2019.0,Dakhla-Oued Ed-Dahab,-2.3355515174594546
2019.0,Tanger-Tétouan-Al Hoceima,1.296080222866715
2019.0,Drâa-Tafilalet,3.885534272588044
2019.0,Marrakech-Safi,2.7306240035290648
2019.0,l'Oriental,14.26614203121383
2019.0,Béni Mellal-Khénifra,3.2075479674154472
2019.0,Casablanca-Settat,3.8132470414656567
2019.0,Rabat-Salé-Kénitra,4.420260272282739
2020.0,Fès-Meknès,0.8967011546273557
2020.0,Guelmim-Oued Noun,9.837249908243695
2020.0,Laâyoune-Sakia El Hamra,2.56014194018113
2020.0,Souss-Massa,7.43119285438583
2020.0,Dakhla-Oued Ed-Dahab,0.878072179669716
2020.0,Tanger-Tétouan-Al Hoceima,4.175565259621981
2020.0,Drâa-Tafilalet,5.131105451369247
2020.0,Marrakech-Safi,1.1736815898669575
2020.0,l'Oriental,11.94039944340977
2020.0,Béni Mellal-Khénifra,3.3730737826001094
2020.0,Casablanca-Settat,3.0484083392022567
2020.0,Rabat-Salé-Kénitra,1.3992544779925833
2021.0,Fès-Meknès,11.094381433966166
2021.0,Guelmim-Oued Noun,9.953340291385466
2021.0,Laâyoune-Sakia El Hamra,5.921643294613822
2021.0,Souss-Massa,3.3415481643717913
2021.0,Dakhla-Oued Ed-Dahab,1.5539288384078525
2021.0,Tanger-Tétouan-Al Hoceima,1.4521511269000371
2021.0,Drâa-Tafilalet,7.611467020515006
2021.0,Marrakech-Safi,5.983909671368624
2021.0,l'Oriental,25.926938837170756
2021.0,Béni Mellal-Khénifra,4.753933609843611
2021.0,Casablanca-Settat,15.58558595087407
2021.0,Rabat-Salé-Kénitra,3.2718298325863846
2022.0,Fès-Meknès,10.063811458564265
2022.0,Guelmim-Oued Noun,6.561430523279001
2022.0,Laâyoune-Sakia El Hamra,4.219293675934499
2022.0,Souss-Massa,2.18518418375164
2022.0,Dakhla-Oued Ed-Dahab,4.886627867020576
2022.0,Tanger-Tétouan-Al Hoceima,3.3803813920444044
2022.0,Drâa-Tafilalet,7.484456904355862
2022.0,Marrakech-Safi,15.303132568802763
2022.0,l'Oriental,17.23528385816377
2022.0,Béni Mellal-Khénifra,11.439067183898787
2022.0,Casablanca-Settat,12.15040137574828
2022.0,Rabat-Salé-Kénitra,4.215669736082604
2023.0,Fès-Meknès,8.25955979308953
2023.0,Guelmim-Oued Noun,18.34205924826723
2023.0,Laâyoune-Sakia El Hamra,8.935957567383277
2023.0,Souss-Massa,3.5187990306153485
2023.0,Dakhla-Oued Ed-Dahab,4.825889737516478
2023.0,Tanger-Tétouan-Al Hoceima,1.5136181005488678
2023.0,Drâa-Tafilalet,8.350353830936633
2023.0,Marrakech-Safi,12.247058340902123
2023.0,l'Oriental,13.810399026241695
2023.0,Béni Mellal-Khénifra,7.699358835726095
2023.0,Casablanca-Settat,18.85867693154235
2023.0,Rabat-Salé-Kénitra,4.266680013837554
2024.0,Fès-Meknès,8.169401091631693
2024.0,Guelmim-Oued Noun,12.821824563172948
2024.0,Laâyoune-Sakia El Hamra,6.445815656461854
2024.0,Souss-Massa,6.083330380629789
2024.0,Dakhla-Oued Ed-Dahab,4.903226752373795
2024.0,Tanger-Tétouan-Al Hoceima,1.8526105659286594
2024.0,Drâa-Tafilalet,4.229168472243026
2024.0,Marrakech-Safi,4.676068085154137
2024.0,l'Oriental,13.263759341973289
2024.0,Béni Mellal-Khénifra,9.016856980822629
2024.0,Casablanca-Settat,15.011598214491448
2024.0,Rabat-Salé-Kénitra,5.227886252963178
