nom_fr,year,month,date,P,NDVI,LST,ET_PET,P_mean,P_sd,NDVI_mean,NDVI_sd,NDVI_min,NDVI_max,LST_mean,LST_sd,LST_min,LST_max,Z_P,Z_NDVI,Z_LST,VCI,TCI,PC1_raw,CDAI,Severite
Fès-Meknès,2000,4,2000-04,44.43480924587047,0.26760622542859785,30.508651614109525,0,46.11514463539771,21.28941684173791,0.3648644913883577,0.03742925229803416,0.26760622542859785,0.4225174387397904,28.096292547209888,2.5791522116867727,23.23250388813381,34.526942459821505,-0.07892820183937331,-2.5984560200490026,-0.9353302437788062,0,35.57757441815099,-1.882324647833138,-1.5009831284765796,Sécheresse sévère
Guelmim-Oued Noun,2000,4,2000-04,1.4119687618732455,0.12841219182324068,37.87997036692686,0,2.4944639190456814,1.462552815676756,0.16239016372224208,0.02963167340343241,0.12841219182324068,0.2334929238881956,37.258690277789526,2.007148693544613,33.454669756881586,40.90453161916372,-0.7401408999178886,-1.1466774568008544,-0.30953366391612935,0,40.59883590145854,-1.2136115518091801,-0.9677451049088849,Sécheresse modérée
Laâyoune-Sakia El Hamra,2000,4,2000-04,1.9813817541747512,0.11170355687291592,38.33973018037949,0,2.6488417591050544,0.7633802614642231,0.1217745473750962,0.01583270512366257,0.10804450259355317,0.17635647925157472,37.442250504643006,1.8541045966065923,33.00597301119228,40.37096617966945,-0.8743480001042504,-0.636087795706421,-0.4840501864776474,5.3556036554354405,27.579567215718544,-1.168338724198458,-0.931644132369239,Sécheresse modérée
Souss-Massa,2000,4,2000-04,13.13539508170066,0.19189462845512784,37.16794338733924,0,15.753361982817305,8.634334646846336,0.2145895738318532,0.03251753039008515,0.16835195083920246,0.2811028696614511,36.69327663966701,1.913860327395239,32.05172541504541,40.44655936457542,-0.3032042430823375,-0.6979295507522684,-0.24801535455737855,20.878401720934026,39.055115222478115,-0.6830553961430675,-0.5446747066749967,Anormalement sec
Dakhla-Oued Ed-Dahab,2000,4,2000-04,0.07498857008041046,0.105,40.95994361252852,0,0.3887895606784647,0.29720004960672897,0.1087718944099379,0.03064864995661365,0.04283416149068323,0.18634099378881988,39.60929954338657,1.8772849170276151,34.39219281834448,42.65675927661367,-1.0558578002032386,-0.12306885997515092,-0.7194667452399724,43.31606092041922,20.531187201824338,-1.1909973542313457,-0.9497123340648969,Sécheresse modérée
Tanger-Tétouan-Al Hoceima,2000,4,2000-04,119.97577209788616,0.45258109534692714,24.29511461272738,0,66.68029480109347,27.3252276313473,0.5142380287114507,0.02797818532219648,0.45258109534692714,0.5567660604216754,25.37092619360913,2.071355916986645,21.72381385940817,31.446406242976703,1.9504129303447235,-2.203750266662509,0.5193755317757321,0,73.55326637994786,0.5278507637253239,0.4209130936139253,Normal
Drâa-Tafilalet,2000,4,2000-04,17.887471447266037,0.15001191863915073,37.01031429803123,0,24.210522357395437,10.673009109588328,0.15970671619643187,0.01236130522445768,0.14171611656886654,0.18922325729104864,36.20308252892468,2.0078681104480354,30.601056330195117,40.0185650854762,-0.5924337593274375,-0.7842859132787471,-0.4020342595741635,17.458546419674438,31.943135613698907,-1.0067375867999595,-0.802781886923429,Sécheresse modérée
Marrakech-Safi,2000,4,2000-04,35.18966169518877,0.21619908842336064,32.91972780370095,0,29.33850378916761,14.216095150889378,0.2547683797272345,0.03745464352832619,0.20344954538086457,0.31709920548418535,32.66694845415443,2.2993163339255727,28.33455273545247,37.33661753494283,0.4115868558782895,-1.029759935499177,-0.10993674329054023,11.217298231321706,49.06524139848222,-0.2971777489353383,-0.2369722926510461,Normal
l'Oriental,2000,4,2000-04,18.14665599298632,0.14846163442666915,34.29220977957071,0,31.487542357257944,16.645983187852902,0.19386363211828384,0.02825573135546003,0.1454625726255938,0.271305859350547,31.90275663461627,2.61823812740006,28.08817394066642,37.587287729520106,-0.8014477855538679,-1.6068243684954688,-0.9126187262910236,2.3829825021810187,34.688230443063105,-1.8570081099612918,-1.480795486424066,Sécheresse sévère
Béni Mellal-Khénifra,2000,4,2000-04,50.099212752931294,0.2982842065162847,30.24699827393958,0,49.11233681427156,21.74762356465394,0.36644485052686143,0.04564930016848695,0.28575499706253144,0.44478304346229647,29.364335318479142,2.805194630696818,22.516849659624977,34.78922140925965,0.04537856450043073,-1.493136669324671,-0.314653017584446,7.878120825415115,37.011749047451886,-0.8812872676345116,-0.7027466391535493,Anormalement sec
