"Region","Date","NDVI_median","NDWI_median","NDDI_median"
"Rabat-Salé-Kénitra",2024-04-22,0.434927625073355,0.0122940170013511,0.931150347029692
"Fès-Meknès",2024-04-30,0.262689350595151,-0.0708845827490548,0.868368501035014
"Guelmim-Oued Noun",2024-04-30,0.103735058025533,-0.12235698360645,-2.83969156429495
"Laâyoune-Sakia El Hamra",2024-04-30,0.0965725595830486,-0.121043237704346,-4.53749997948324
"Souss-Massa",2024-04-30,0.105567420119199,-0.117533594876693,-2.15637910895479
"Dakhla-Oued Ed-Dahab",2024-04-30,0.0914875539752527,-0.10946269133544,-6.13390623958531
"Tanger-Tétouan-Al Hoceima",2024-04-30,0.518740556467322,0.121834040958887,0.620015171095368
"Drâa-Tafilalet",2024-04-30,0.109852745250791,-0.131403785645728,-3.20239847626592
"Marrakech-Safi",2024-04-30,0.167874147637689,-0.0893233563913866,2.48170660015599
"l'Oriental",2024-04-30,0.120312126439494,-0.120832117337917,1.44907592471585
"Béni Mellal-Khénifra",2024-04-30,0.233435436151242,-0.0842011553830978,1.65465672393396
"Casablanca-Settat",2024-04-30,0.240095474008487,-0.14714586410293,3.5976538783802
"Rabat-Salé-Kénitra",2024-04-30,0.366564593491658,-0.0442296016904824,1.25712574317932
"Fès-Meknès",2024-05-08,0.250119422583411,-0.0762893184195272,1.00534497837142
"Guelmim-Oued Noun",2024-05-08,0.10392085819554,-0.123767890742584,-2.91942520325492
"Laâyoune-Sakia El Hamra",2024-05-08,0.0953189285610713,-0.119767653451889,-3.97796595075335
"Souss-Massa",2024-05-08,0.101613180370836,-0.125602343026677,-2.70788260258087
"Dakhla-Oued Ed-Dahab",2024-05-08,0.0885300739290869,-0.102647213320471,-5.69388580699253
"Tanger-Tétouan-Al Hoceima",2024-05-08,0.501366584255492,0.124509912905563,0.599852943526979
"Drâa-Tafilalet",2024-05-08,0.109047269224796,-0.130893367841784,-3.16980614250736
"Marrakech-Safi",2024-05-08,0.164521791979794,-0.104086788194546,2.42313508154591
"l'Oriental",2024-05-08,0.118265274960045,-0.117722330820572,2.13589999673747
"Béni Mellal-Khénifra",2024-05-08,0.230748595720232,-0.0849103298394808,1.57213975754225
"Casablanca-Settat",2024-05-08,0.213950314695602,-0.138398104275461,3.3219100110283
"Rabat-Salé-Kénitra",2024-05-08,0.327237171665389,-0.0409246635618938,1.26390826918964
"Fès-Meknès",2024-05-16,0.23225403197363,-0.0906421737761526,1.17859650122974
"Guelmim-Oued Noun",2024-05-16,0.102093159730505,-0.124546674757024,-3.00047587113012
"Laâyoune-Sakia El Hamra",2024-05-16,0.0954433883326839,-0.119095263449076,-3.98015332873664
"Souss-Massa",2024-05-16,0.104310666669874,-0.117798786931313,-2.25497761451506
"Dakhla-Oued Ed-Dahab",2024-05-16,0.0884132164081837,-0.110106485505794,-5.69815179058989
"Tanger-Tétouan-Al Hoceima",2024-05-16,0.470567730638512,0.0788304606845537,0.706416972164016
"Drâa-Tafilalet",2024-05-16,0.107071454159456,-0.129285079974229,-3.35927766350325
"Marrakech-Safi",2024-05-16,0.160664840801302,-0.0991293025528424,2.78668752082683
"l'Oriental",2024-05-16,0.116072682676458,-0.124240235875155,-6.55228191274407
"Béni Mellal-Khénifra",2024-05-16,0.216873765269357,-0.0896064934507179,1.75537585803616
"Casablanca-Settat",2024-05-16,0.215774441214253,-0.157337295885044,3.89338765240585
"Rabat-Salé-Kénitra",2024-05-16,0.296186942726254,-0.0711506305632117,1.57383320167907
"Fès-Meknès",2024-05-24,0.206495295694762,-0.0867384212124141,1.30034915743662
"Guelmim-Oued Noun",2024-05-24,0.101386875835982,-0.128518295584427,-3.20289918514607
"Laâyoune-Sakia El Hamra",2024-05-24,0.0950115633421859,-0.12287322123796,-4.6021877087469
"Souss-Massa",2024-05-24,0.104385035261708,-0.122477628115887,-2.59524625740926
"Dakhla-Oued Ed-Dahab",2024-05-24,0.0893791577892908,-0.110191472225038,-5.75603166694641
"Tanger-Tétouan-Al Hoceima",2024-05-24,0.386743906047748,0.0425212459703426,0.796581998699351
"Drâa-Tafilalet",2024-05-24,0.104237135644776,-0.124272226446961,-3.17800907294937
"Marrakech-Safi",2024-05-24,0.154019384609609,-0.105913198710924,2.18734486449586
"l'Oriental",2024-05-24,0.119116785486954,-0.122024391797321,-4.88960093770713
"Béni Mellal-Khénifra",2024-05-24,0.208575053847885,-0.0863658241452636,1.69035464942952
"Casablanca-Settat",2024-05-24,0.19686591245457,-0.160269945379186,3.3666200927012
"Rabat-Salé-Kénitra",2024-05-24,0.266189539956475,-0.0745182195772338,1.72979730135887
"Fès-Meknès",2024-06-01,0.198413426428536,-0.0954205151220918,1.57948855364762
"Guelmim-Oued Noun",2024-06-01,0.0994692517289828,-0.124201714768664,-3.24512625845035
"Laâyoune-Sakia El Hamra",2024-06-01,0.0941995952839932,-0.120532533463374,-4.20198096561327
"Souss-Massa",2024-06-01,0.10223260242926,-0.12157623564568,-2.61083580180929
"Dakhla-Oued Ed-Dahab",2024-06-01,0.0889180159151752,-0.10862149875233,-6.05128574403927
"Tanger-Tétouan-Al Hoceima",2024-06-01,0.369631597344873,0.00903869155211635,0.948569516891924
"Drâa-Tafilalet",2024-06-01,0.102485863242416,-0.129064838302422,-3.41934384742318
"Marrakech-Safi",2024-06-01,0.154020644176816,-0.108973974122944,1.95204454515407
"l'Oriental",2024-06-01,0.117628864072888,-0.126119598832985,-6.30779718616906
"Béni Mellal-Khénifra",2024-06-01,0.198176802928744,-0.0913851805521528,1.84069504730245
"Casablanca-Settat",2024-06-01,0.195584779762796,-0.164516150686728,3.21969545192815
"Rabat-Salé-Kénitra",2024-06-01,0.251695631218649,-0.0888774969378189,2.03501292825913
"Fès-Meknès",2024-06-09,0.188479294329971,-0.107017155988169,1.79248868914458
"Guelmim-Oued Noun",2024-06-09,0.102136439747372,-0.128114898588794,-3.02396148931789
"Laâyoune-Sakia El Hamra",2024-06-09,0.0947375969534759,-0.124788009754969,-4.77429755775534
"Souss-Massa",2024-06-09,0.103375436496435,-0.125811270737118,-2.68083006550697
"Dakhla-Oued Ed-Dahab",2024-06-09,0.0877698059052235,-0.111172056189453,-5.90473212366859
"Tanger-Tétouan-Al Hoceima",2024-06-09,0.352217367193993,-0.0113899385060666,1.05694583422256
"Drâa-Tafilalet",2024-06-09,0.103495906046075,-0.129006475038042,-3.51214484198206
"Marrakech-Safi",2024-06-09,0.154794790836364,-0.105729936365348,2.26348309230537
"l'Oriental",2024-06-09,0.118740684715586,-0.12616773117114,-6.17802610723385
"Béni Mellal-Khénifra",2024-06-09,0.195085497338058,-0.0942697565852451,1.8914240979329
"Casablanca-Settat",2024-06-09,0.201950267042948,-0.161459462336243,3.45846002777156
"Rabat-Salé-Kénitra",2024-06-09,0.241295553437227,-0.101663127797739,2.35178290129436
"Fès-Meknès",2024-06-17,0.182648492302336,-0.114614409518334,1.82844284660339
"Guelmim-Oued Noun",2024-06-17,0.10083911353853,-0.13100415523451,-3.22643718860225
"Laâyoune-Sakia El Hamra",2024-06-17,0.0930534068812982,-0.120352835197667,-3.85074213935336
"Souss-Massa",2024-06-17,0.10119900115793,-0.125588373361795,-2.84354056650653
"Dakhla-Oued Ed-Dahab",2024-06-17,0.0879413069694673,-0.109712318503123,-6.04227103544154
"Tanger-Tétouan-Al Hoceima",2024-06-17,0.348993226636012,-0.0320502268932164,1.18287703480421
"Drâa-Tafilalet",2024-06-17,0.101987212132905,-0.128752514417669,-3.64160511318369
