nom_fr,year,month,day_of_year,date,NDVI_median,NDWI_median,NDDI_median,NDDI_mean
Fès-Meknès,2000,6,161,2000-06-09,0.22250776021312485,-0.11914593056712673,2.7108036348341513,3.8466961603416734
Guelmim-Oued Noun,2000,6,161,2000-06-09,0.08406471052898797,-0.08962494430391432,-7.541892101814106,5.608841605704419
Laâyoune-Sakia El Hamra,2000,6,161,2000-06-09,0.08381073406487052,-0.09960710459549175,-7.212150422238739,-3.1771326981793346
Souss-Massa,2000,6,161,2000-06-09,0.1389088113481206,-0.10535589462310056,5.164980624020171,8.01897071345675
Dakhla-Oued Ed-Dahab,2000,6,161,2000-06-09,0.08101421273515941,-0.08197593328681184,-7.268283114777127,1.7791284746209046
Tanger-Tétouan-Al Hoceima,2000,6,161,2000-06-09,0.3422669701151229,-0.04015961236913181,1.7971479569264748,2.104476998135164
Drâa-Tafilalet,2000,6,161,2000-06-09,0.1063945504015018,-0.09912490293523236,4.595017722317446,2.6414295129069263
Marrakech-Safi,2000,6,161,2000-06-09,0.20718402404159914,-0.10557863491691738,3.9743851870278815,5.83303150675513
l'Oriental,2000,6,161,2000-06-09,0.17165776272125363,-0.11749461491421472,5.2533997449708805,1.1069017397462175
Béni Mellal-Khénifra,2000,6,161,2000-06-09,0.19747136686104177,-0.05187994476164449,1.357674034451816,1.9645909107771307
Casablanca-Settat,2000,6,161,2000-06-09,0.21822603510883964,-0.1106439320783121,3.4103392048277654,0.17444484155229342
Rabat-Salé-Kénitra,2000,6,161,2000-06-09,0.2421679108802006,-0.13245628118863614,4.160787417792828,4.837265138638784
Fès-Meknès,2000,6,169,2000-06-17,0.21108260951819832,-0.13353052848744038,2.0443257919443663,1.4528611704724577
Guelmim-Oued Noun,2000,6,169,2000-06-17,0.08693377956105293,-0.10370465900480934,-7.970395081436692,-2.6062680209332925
Laâyoune-Sakia El Hamra,2000,6,169,2000-06-17,0.0761852404636505,-0.10580893458890311,-6.671939851438082,-2.5215862680690195
