nom_fr,year,month,date,NDDI_median,nom_affich
Tanger-Tétouan-Al Hoceima,2000,6,2000-06-25,2.276304673151835,Tanger-Tétouan-Al Hoceima
Drâa-Tafilalet,2000,6,2000-06-25,6.010768968004036,Drâa-Tafilalet
Marrakech-Safi,2000,6,2000-06-25,6.187767547979449,Marrakech-Safi
l'Oriental,2000,6,2000-06-25,5.650809928457636,L'Oriental
Béni Mellal-Khénifra,2000,6,2000-06-25,1.5050761699114086,Béni Mellal-Khénifra
Casablanca-Settat,2000,6,2000-06-25,4.668531185673427,Casablanca-Settat
Rabat-Salé-Kénitra,2000,6,2000-06-25,2.779222280591593,Rabat-Salé-Kénitra
Fès-Meknès,2000,7,2000-07-03,4.239824533708856,Fès-Meknès
Guelmim-Oued Noun,2000,7,2000-07-03,-12.508320545089218,Guelmim-Oued Noun
Laâyoune-Sakia El Hamra,2000,7,2000-07-03,-6.98206571755712,Laâyoune-Sakia El Hamra
Souss-Massa,2000,7,2000-07-03,8.698378206982122,Souss-Massa
Dakhla-Oued Ed-Dahab,2000,7,2000-07-03,-7.495847429418839,Dakhla-Oued Ed-Dahab
Tanger-Tétouan-Al Hoceima,2000,7,2000-07-03,1.9884170476421936,Tanger-Tétouan-Al Hoceima
Drâa-Tafilalet,2000,7,2000-07-03,3.805755052479277,Drâa-Tafilalet
Marrakech-Safi,2000,7,2000-07-03,4.90995155308061,Marrakech-Safi
l'Oriental,2000,7,2000-07-03,3.905565662821923,L'Oriental
Béni Mellal-Khénifra,2000,7,2000-07-03,1.8814830321109477,Béni Mellal-Khénifra
Casablanca-Settat,2000,7,2000-07-03,4.786406754511178,Casablanca-Settat
Rabat-Salé-Kénitra,2000,7,2000-07-03,4.532583286882026,Rabat-Salé-Kénitra
Fès-Meknès,2000,7,2000-07-11,4.0381736049213375,Fès-Meknès
Guelmim-Oued Noun,2000,7,2000-07-11,4.955666871648413,Guelmim-Oued Noun
Laâyoune-Sakia El Hamra,2000,7,2000-07-11,-8.624255555218268,Laâyoune-Sakia El Hamra
Souss-Massa,2000,7,2000-07-11,8.15108191507179,Souss-Massa
Dakhla-Oued Ed-Dahab,2000,7,2000-07-11,-7.631445712562715,Dakhla-Oued Ed-Dahab
Tanger-Tétouan-Al Hoceima,2000,7,2000-07-11,2.650329483994767,Tanger-Tétouan-Al Hoceima
